Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c31df7a35168bfd999f18b1ffa6b7e1ded3c74cd1e126c7a440f590c0c79d7c7,2021-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
df14db153106b5a9340f0f9c3ac8f69bbb30571f23f80a22cdaa33714e1b51a6,2021-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
89775540d336becdcb1c350f9eb11a2a62e7db279a390450bc68e8ff88d9ad0d,2021-05,Bedfordshire Police,Bedfordshire Police,-0.524442,51.904222,On or near WATLING PLACE,E01017579,Central Bedfordshire 026B,Unable to prosecute suspect
12ea9906a5add2ae60278958cac8d535270444a03b5014e9909297c251a1fed2,2021-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
f3f093c0cf5075f212dae231dca75147a7d8803bb49372e540ba76610518b60e,2021-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
3c01a3afee1d58bfb3241ba317f4a595f6994acd6775e6c9b2620b1b5eb8da35,2021-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
73acd904f431ccca45b3d9694b2413f87c058796241cad7b0b27a62a92578f61,2021-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
45f709a3f3f63b225c327d88a4fe71f39b776d3c1a5c2a264a7d5e6e90c0c9f5,2021-05,Bedfordshire Police,Bedfordshire Police,-0.400412,51.874916,On or near KIMPTON ROAD,E01015790,Luton 021B,Investigation complete; no suspect identified
1f1a184cf13fcf3f4a0ddc14745bd111d1269653665f7696b73d9eba4cd1bf28,2021-05,Bedfordshire Police,Bedfordshire Police,-0.476083,51.900270,On or near HEBDEN CLOSE,E01015718,Luton 013C,Local resolution
93aa97e8699dc46bf3d25758c6bf9eb1292f622b2449ae568905beed3a9183c3,2021-05,Bedfordshire Police,Bedfordshire Police,-0.527233,51.891795,On or near PARK STREET,E01017568,Central Bedfordshire 029C,Unable to prosecute suspect
ff4ebcc157b0fd90b35558e2ab37057a9e4c9b286c3f6b28e23cb88ac549959d,2021-05,Bedfordshire Police,Bedfordshire Police,-0.418935,52.125455,On or near A421,E01034429,Bedford 021D,Local resolution
2036e2a5bcddcecb7b93e61472834e46e66a7d5fb75a0f2a3fe7a27b24dc90cf,2021-05,Bedfordshire Police,Bedfordshire Police,-0.489760,51.900716,On or near TREFOIL CLOSE,E01015759,Luton 009D,Unable to prosecute suspect
